"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"37","North Carolina","37019020306","Brunswick County, NC - 37019020306","2020","41.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020307","Brunswick County, NC - 37019020307","2020","94.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020307","Brunswick County, NC - 37019020307","2020","99.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020308","Brunswick County, NC - 37019020308","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020308","Brunswick County, NC - 37019020308","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020311","Brunswick County, NC - 37019020311","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020311","Brunswick County, NC - 37019020311","2020","4.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020312","Brunswick County, NC - 37019020312","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020312","Brunswick County, NC - 37019020312","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020313","Brunswick County, NC - 37019020313","2020","25.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020313","Brunswick County, NC - 37019020313","2020","44.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020314","Brunswick County, NC - 37019020314","2020","32.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020314","Brunswick County, NC - 37019020314","2020","60.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37019020315","Brunswick County, NC - 37019020315","2020","46.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37019020315","Brunswick County, NC - 37019020315","2020","98.0%","",,"Distance to Parks: 1 Mile"
